"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 30 14:23:33 UTC 2024","Tue Apr 30 14:23:50 UTC 2024","17423","","Crypto - Trading History","","","","User can see empty state when no transaction on filter crypto pending order history [MOBILE2-2736] | BETA-V3",""
"passed","Tue Apr 30 14:18:42 UTC 2024","Tue Apr 30 14:19:28 UTC 2024","46044","","Crypto - Trading History","","","","User can reset filter the pending order history crypto [MOBILE2-3190] | BETA-V3",""
"passed","Tue Apr 30 15:59:34 UTC 2024","Tue Apr 30 15:59:57 UTC 2024","23239","","Wallet - Transaction History - General","","","","User can filter the transaction history Balance IDR with select multiple transaction type and status [MOBILE2-2937] | BETA-V3",""
"passed","Tue Apr 30 15:21:06 UTC 2024","Tue Apr 30 15:22:04 UTC 2024","58313","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR when doesnt have phone number and unverified [MOBILE2-190] | BETA",""
"passed","Tue Apr 30 15:47:34 UTC 2024","Tue Apr 30 15:47:57 UTC 2024","22965","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with status failed [MOBILE2-3113] | BETA-V3",""
"passed","Tue Apr 30 15:11:55 UTC 2024","Tue Apr 30 15:12:17 UTC 2024","21998","","Wallet - Crypto Wallet","","","","User should be able to see the Sell coins transaction history [MOBILE2-2556] | BETA-V3",""
"broken","Tue Apr 30 14:29:26 UTC 2024","Tue Apr 30 14:30:43 UTC 2024","77209","","Profile - Change Password","","","","User successfully change and create new password (using SMS OTP) [MOBILE2-1197] | BETA",""
"passed","Tue Apr 30 15:14:54 UTC 2024","Tue Apr 30 15:16:17 UTC 2024","83546","","Wallet - IDR Wallet - Deposit","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | BETA-V3",""
"passed","Tue Apr 30 15:51:16 UTC 2024","Tue Apr 30 15:51:38 UTC 2024","22565","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type reward [MOBILE2-3121] | BETA-V3",""
"passed","Tue Apr 30 14:14:30 UTC 2024","Tue Apr 30 14:15:13 UTC 2024","43611","","Crypto - Trading History","","","","User can filter the order history Crypto with select multiple transaction type and status [MOBILE2-2740] | BETA-V3",""
"passed","Tue Apr 30 14:48:54 UTC 2024","Tue Apr 30 14:49:40 UTC 2024","45843","","US Stock - Market","","","","User can sorting asset us stock [MOBILE2-3483] | BETA-V3",""
"passed","Tue Apr 30 15:29:25 UTC 2024","Tue Apr 30 15:30:19 UTC 2024","53983","","Wallet - IDR Wallet","","","","User should be able see total balance IDR owned [MOBILE2-2551] | BETA-V3",""
"passed","Tue Apr 30 15:23:42 UTC 2024","Tue Apr 30 15:24:48 UTC 2024","66286","","Wallet - IDR Wallet - Transaction Detail","","","","User should be able to see transaction detail of Giveaway [MOBILE2-3304] | BETA-V3",""
"passed","Tue Apr 30 14:03:51 UTC 2024","Tue Apr 30 14:04:03 UTC 2024","11983","","Crypto - Discovery","","","","User can see market movers [MOBILE2-3555] | BETA-V3",""
"passed","Tue Apr 30 16:04:29 UTC 2024","Tue Apr 30 16:04:51 UTC 2024","21196","","Wallet - Transaction History - General","","","","User can filter the transaction history Asset US Stock with select multiple transaction type and status [MOBILE2-2977] | BETA-V3",""
"passed","Tue Apr 30 16:33:15 UTC 2024","Tue Apr 30 16:34:10 UTC 2024","55286","","Wallet - US Stock - Transaction Detail","","","","User should be able to see transaction detail of Market Buy/Sell Stock status Canceled [MOBILE2-3336] | BETA-V3",""
"passed","Tue Apr 30 16:29:28 UTC 2024","Tue Apr 30 16:30:05 UTC 2024","36880","","Wallet - Transaction History - USD","","","","User can unselect filter the transaction history USD [MOBILE2-3089] | BETA-V3",""
"passed","Tue Apr 30 15:58:05 UTC 2024","Tue Apr 30 15:58:18 UTC 2024","12978","","Wallet - Transaction History - General","","","","User can filter the transaction history Balance IDR with transaction type reward [MOBILE2-2928] | BETA-V3",""
"passed","Tue Apr 30 16:03:52 UTC 2024","Tue Apr 30 16:04:08 UTC 2024","16079","","Wallet - Transaction History - General","","","","User can filter the transaction history Asset US Stock with status Success [MOBILE2-2969] | BETA-V3",""
