"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Wallet - Transaction History - General","","0","6","33","0","0"
"","Wallet - IDR Wallet - Withdraw","","0","3","5","0","0"
"","Wallet - Transaction History - US Stock","","0","3","9","0","0"
"","Crypto - Discovery","","0","1","5","0","0"
"","Wallet - Transaction History - IDR","","0","0","13","0","0"
"","Crypto - Trading History","","1","19","0","0","0"
"","Wallet - Transaction History - Crypto","","0","14","1","0","0"
"","US Stock - Discovery","","0","5","1","0","0"
"","Wallet - Crypto Wallet","","0","9","2","0","0"
"","Wallet - USD Wallet - Buy/Sell","","1","5","0","0","0"
"","Wallet - USD Wallet","","0","6","1","0","0"
"","Wallet - Transaction History - USD","","0","0","10","0","0"
"","Wallet - Crypto Wallet - Send Coin #1","","1","1","4","0","0"
"","US Stock - Market","","0","0","6","0","0"
"","Watchlist","","0","2","5","0","0"
"","Wallet - IDR Wallet - Deposit","","0","0","7","0","0"
"","Wallet - Crypto - Transaction Detail","","1","2","4","0","0"
"","Wallet - US Stock Wallet","","0","1","6","0","0"
"","Wallet - IDR Wallet - Transaction Detail","","0","2","5","0","0"
"","Wallet - USD Wallet - Yield","","4","0","3","0","0"
"","Wallet - USD - Transaction Detail","","0","1","2","0","0"
"","Wallet - IDR Wallet","","0","0","6","0","0"
"","Login","","0","0","1","0","0"
"","Crypto - Market","","0","1","3","0","0"
"","Profile - Setup Withdrawal Account","","0","0","1","0","0"
"","Profile - Change Password","","0","1","1","0","0"
"","Sign Up","","0","1","0","0","0"
"","Forgot Password","","0","0","1","0","0"
"","Wallet - US Stock - Transaction Detail","","0","2","2","0","0"
"","Home","","0","0","1","0","0"
"","Profile - My Account","","0","1","0","0","0"
"","Wallet - Crypto Wallet - Receive Coin","","0","0","1","0","0"
"","Wallet Home","","0","0","1","0","0"
