"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 21:13:08 UTC 2024","Wed May 29 21:14:00 UTC 2024","51961","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Transfer Bank [MOBILE2-1766] | PROD_ISS",""
"passed","Wed May 29 21:14:39 UTC 2024","Wed May 29 21:14:59 UTC 2024","20522","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (DANA) [MOBILE2-228 MOBILE2-183] | PROD_ISS",""
"passed","Wed May 29 21:19:47 UTC 2024","Wed May 29 21:20:32 UTC 2024","45725","","Wallet Home","","","","User successfully redirected to transaction history page when click history icon [MOBILE2-649] | PROD_ISS",""
"passed","Wed May 29 21:11:58 UTC 2024","Wed May 29 21:13:08 UTC 2024","69766","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit Rp10.000 to 49,999mio with BSS VA [MOBILE2-1707] | PROD_ISS",""
"passed","Wed May 29 21:14:19 UTC 2024","Wed May 29 21:14:39 UTC 2024","19655","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_ISS",""
"passed","Wed May 29 21:18:37 UTC 2024","Wed May 29 21:18:57 UTC 2024","19932","","Wallet - Staking","","","","User should be able to see the rewards distribution when have a staked coin and past the reward payout period [MOBILE2-1510] | PROD_ISS",""
"passed","Wed May 29 21:21:29 UTC 2024","Wed May 29 21:21:36 UTC 2024","6392","","Wallet Home","","","","User successfully redirected to transfer from page when click deposit idr [MOBILE2-1087] | PROD_ISS",""
"passed","Wed May 29 21:21:36 UTC 2024","Wed May 29 21:21:42 UTC 2024","6452","","Wallet Home","","","","User successfully redirected to withdraw page when click withdraw idr [MOBILE2-1088] | PROD_ISS",""
"passed","Wed May 29 21:20:41 UTC 2024","Wed May 29 21:21:29 UTC 2024","48421","","Wallet Home","","","","User should be able to see open order balance [MOBILE2-1583] | PROD_ISS",""
"passed","Wed May 29 21:15:19 UTC 2024","Wed May 29 21:15:40 UTC 2024","20723","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (SHOPEEPAY) [MOBILE2-232] | PROD_ISS",""
"passed","Wed May 29 21:11:40 UTC 2024","Wed May 29 21:11:58 UTC 2024","18269","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Virtual Account [MOBILE2-1765] | PROD_ISS",""
"passed","Wed May 29 21:17:42 UTC 2024","Wed May 29 21:18:05 UTC 2024","23352","","Wallet - Staking","","","","User successfully redirected to coin stake form when click stake button on coin [MOBILE2-1481 MOBILE2-1486 MOBILE2-1495] | PROD_ISS",""
"passed","Wed May 29 21:10:02 UTC 2024","Wed May 29 21:11:40 UTC 2024","98148","","Wallet Deposit IDR","","","","(VIP-BCA) User successfully submit deposit with Transfer Bank and see the status deposit via Bank Transfer is waiting for payment [MOBILE2-1705 MOBILE2-175] | PROD_ISS",""
"passed","Wed May 29 21:14:00 UTC 2024","Wed May 29 21:14:19 UTC 2024","18880","","Wallet Deposit IDR","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_ISS",""
"passed","Wed May 29 21:18:05 UTC 2024","Wed May 29 21:18:37 UTC 2024","32313","","Wallet - Staking","","","","User shoud be able see total stake at coin detail page [MOBILE2-1509 MOBILE2-1497 MOBILE2-1504 MOBILE2-1505] | PROD_ISS",""
"passed","Wed May 29 21:04:21 UTC 2024","Wed May 29 21:04:51 UTC 2024","29807","","Deeplink Reset Password","","","","User access deeplink reset password | PROD_ISS",""
"broken","Wed May 29 21:05:51 UTC 2024","Wed May 29 21:08:51 UTC 2024","180011","","Market - Price Alert","","","","User successfully set price alert [MOBILE2-2633] | PROD_ISS",""
"broken","Wed May 29 21:16:39 UTC 2024","Wed May 29 21:17:42 UTC 2024","62980","","Wallet - Staking","","","","User should be able to see total stake [MOBILE2-1474 MOBILE2-2417 MOBILE2-2418 MOBILE2-1484 MOBILE2-2419 MOBILE2-2420] | PROD_ISS",""
"passed","Wed May 29 21:21:42 UTC 2024","Wed May 29 21:21:51 UTC 2024","9226","","Wallet Home","","","","User successfully redirected to idr transaction history page when click history icon [MOBILE2-1585] | PROD_ISS",""
"passed","Wed May 29 21:20:32 UTC 2024","Wed May 29 21:20:41 UTC 2024","8323","","Wallet Home","","","","User successfully redirected to total IDR balance when click balance [MOBILE2-1075 MOBILE2-1080 MOBILE2-1579 MOBILE2-2337] | PROD_ISS",""
"passed","Wed May 29 21:14:59 UTC 2024","Wed May 29 21:15:19 UTC 2024","20285","","Wallet Deposit IDR","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_ISS",""
