"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Wallet - IDR Wallet - Withdraw","","0","10","0","0","0"
"","Profile - Change Password","","0","3","0","0","0"
"","Wallet - IDR Wallet - Deposit","","0","20","0","0","0"
"","Wallet - Crypto Wallet - Send Coin #2","","0","21","0","0","0"
"","Wallet Home","","0","8","2","0","0"
"","Home","","0","6","0","0","0"
"","Profile","","0","7","1","0","0"
"","Profile - Phone Number","","0","4","0","0","0"
"","Sign Up","","0","0","3","0","0"
"","Wallet - Transaction History - General","","0","12","0","0","0"
"","Profile - Setup Withdrawal Account","","0","4","1","0","0"
"","Wallet - Crypto Wallet - Receive Coin","","0","2","0","0","0"
"","Profile - PIN","","0","0","1","0","0"
"","Profile - My Account","","0","2","0","0","0"
"","Login","","0","1","2","0","0"
"","Forgot Password","","0","0","2","0","0"
"","Wallet - IDR Wallet","","0","1","0","0","0"
"","Home Non-login","","0","0","1","0","0"
"","Profile - Google Authenticator","","0","1","0","0","0"
