"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 13 19:18:58 UTC 2024","Mon May 13 19:19:04 UTC 2024","6421","","Wallet - IDR Wallet - Withdraw","","","","User unsuccessfully withdraw internal transfer/Bank transfer/Ewallet when input amount above available balance [MOBILE2-2205] | PROD_NGT",""
"broken","Mon May 13 18:21:03 UTC 2024","Mon May 13 18:22:09 UTC 2024","66569","","Profile - Change Password","","","","User cant change password if old password wrong [MOBILE2-1207] | PROD_NGT",""
"broken","Mon May 13 19:08:19 UTC 2024","Mon May 13 19:08:42 UTC 2024","23163","","Wallet - IDR Wallet - Deposit","","","","User successfully deposit IDR by E-Wallet (LINKAJA) [MOBILE2-231] | PROD_NGT",""
"broken","Mon May 13 19:00:11 UTC 2024","Mon May 13 19:00:17 UTC 2024","6530","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant add new address to send coin internal/external without destination tag / memo id [MOBILE2-2526] | PROD_NGT",""
"broken","Mon May 13 19:32:39 UTC 2024","Mon May 13 19:33:02 UTC 2024","23221","","Wallet Home","","","","Users should be able to see empty state when have no assets for US Stock [MOBILE2-2548] | PROD_NGT",""
"broken","Mon May 13 18:14:53 UTC 2024","Mon May 13 18:16:02 UTC 2024","68354","","Home","","","","User can successfully redirected to the Info & Promo webview page when click “See all” CTA and click a banner [MOBILE2-349 MOBILE2-350] | PROD_NGT",""
"broken","Mon May 13 19:18:24 UTC 2024","Mon May 13 19:18:26 UTC 2024","1924","","Wallet - IDR Wallet - Withdraw","","","","User cant submit withdraw internal transfer when input own address [MOBILE2-2196] | PROD_NGT",""
"broken","Mon May 13 18:58:45 UTC 2024","Mon May 13 18:58:51 UTC 2024","6532","","Wallet - Crypto Wallet - Send Coin #2","","","","User can search by coin name at list of coins that have coin balance [MOBILE2-2220] | PROD_NGT",""
"broken","Mon May 13 18:08:48 UTC 2024","Mon May 13 18:09:51 UTC 2024","63172","","Home","","","","Users successfully redirected to market page when click ""See All"" [MOBILE2-332 MOBILE2-1529] | PROD_NGT",""
"broken","Mon May 13 18:38:42 UTC 2024","Mon May 13 18:39:49 UTC 2024","67026","","Profile","","","","User successfully redirected to security page when click security menu [MOBILE2-1050] | PROD_NGT",""
"broken","Mon May 13 18:28:42 UTC 2024","Mon May 13 18:29:46 UTC 2024","63608","","Profile - Phone Number","","","","User succesfully add and delete a phone number [MOBILE2-129 MOBILE2-1172 MOBILE2-2353] | PROD_NGT",""
"broken","Mon May 13 19:00:17 UTC 2024","Mon May 13 19:00:24 UTC 2024","6580","","Wallet - Crypto Wallet - Send Coin #2","","","","User can add new address to send coin internal/external with destination tag / memo id [MOBILE2-2525] | PROD_NGT",""
"broken","Mon May 13 18:59:57 UTC 2024","Mon May 13 19:00:04 UTC 2024","7118","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant send coin internal without input destination tag / memo id [MOBILE2-2524] | PROD_NGT",""
"broken","Mon May 13 18:58:30 UTC 2024","Mon May 13 18:58:32 UTC 2024","1498","","Wallet - Crypto Wallet - Send Coin #2","","","","User unsuccessfully send coin when input amount coin above the maximum quantity to send [MOBILE2-2281] | PROD_NGT",""
"passed","Mon May 13 18:48:46 UTC 2024","Mon May 13 18:49:20 UTC 2024","34581","","Sign Up","","","","User can not sign up if it doesnt meet all validation password [MOBILE2-15] | PROD_NGT",""
"broken","Mon May 13 19:25:10 UTC 2024","Mon May 13 19:25:40 UTC 2024","29431","","Wallet - Transaction History - General","","","","User can unselect filter the transaction history Pending Order US Stock [MOBILE2-3035] | PROD_NGT",""
"broken","Mon May 13 19:19:50 UTC 2024","Mon May 13 19:20:50 UTC 2024","60181","","Wallet - Transaction History - General","","","","User can see a list of all my transactions history [MOBILE2-2647] | PROD_NGT",""
"broken","Mon May 13 19:05:54 UTC 2024","Mon May 13 19:06:17 UTC 2024","23185","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP) User successfully submit deposit with virtual account except BCA/Mandiri [MOBILE2-1774] | PROD_NGT",""
"broken","Mon May 13 18:59:31 UTC 2024","Mon May 13 18:59:38 UTC 2024","6679","","Wallet - Crypto Wallet - Send Coin #2","","","","User can add new address to send coin internal/external [MOBILE2-2242] | PROD_NGT",""
"broken","Mon May 13 18:47:13 UTC 2024","Mon May 13 18:47:36 UTC 2024","22789","","Profile - Setup Withdrawal Account","","","","User should not be able to add same e-wallet [MOBILE2-1168] | PROD_NGT",""
"broken","Mon May 13 19:03:23 UTC 2024","Mon May 13 19:03:47 UTC 2024","23400","","Wallet - IDR Wallet - Deposit","","","","(Non-VIP BCA) User successfully submit deposit ≥ 100mio with Virtual Account [MOBILE2-1767] | PROD_NGT",""
"broken","Mon May 13 18:51:22 UTC 2024","Mon May 13 18:52:28 UTC 2024","66499","","Wallet - Crypto Wallet - Receive Coin","","","","User successfully receive coins from external [MOBILE2-1622] | PROD_NGT",""
"broken","Mon May 13 18:59:11 UTC 2024","Mon May 13 18:59:18 UTC 2024","6487","","Wallet - Crypto Wallet - Send Coin #2","","","","Label address auto detected when input address manual without checklist save address [MOBILE2-2252] | PROD_NGT",""
"broken","Mon May 13 19:07:33 UTC 2024","Mon May 13 19:07:56 UTC 2024","23093","","Wallet - IDR Wallet - Deposit","","","","User successfully deposit IDR by E-Wallet (OVO) and see the status deposit via e-wallet is waiting for payment [MOBILE2-227] | PROD_NGT",""
"broken","Mon May 13 19:18:22 UTC 2024","Mon May 13 19:18:24 UTC 2024","1400","","Wallet - IDR Wallet - Withdraw","","","","User cant submit withdraw internal transfer when input invalid address [MOBILE2-2195] | PROD_NGT",""
"broken","Mon May 13 19:00:04 UTC 2024","Mon May 13 19:00:11 UTC 2024","6596","","Wallet - Crypto Wallet - Send Coin #2","","","","User cant submit send coin internal/external when input own address [MOBILE2-2249] | PROD_NGT",""
"broken","Mon May 13 18:22:09 UTC 2024","Mon May 13 18:23:16 UTC 2024","66480","","Profile - Change Password","","","","User successfully change and create new password (using 2FA) [MOBILE2-2357] | PROD_NGT",""
"broken","Mon May 13 19:09:29 UTC 2024","Mon May 13 19:09:58 UTC 2024","29055","","Wallet - IDR Wallet - Deposit","","","","User cant deposit IDR by bank transfer with under minimum amount [MOBILE2-233] | PROD_NGT",""
"broken","Mon May 13 18:12:04 UTC 2024","Mon May 13 18:13:34 UTC 2024","89513","","Home","","","","User successfully redirected to referral page when click referral entrypoint on homecircle [MOBILE2-1534] | PROD_NGT",""
